Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   00091   0,0023  3,0848
Java_ver(A)     float   x64     00001   00091   0,0007  0,8887
Java_ver(A)     float   x64     00002   00091   0,0006  0,8176
Java_ver(A)     float   x64     00003   00091   0,0006  0,8015
Java_ver(A)     float   x64     00004   00091   0,0004  0,5970
Java_ver(B)     float   x64     00000   00091   0,0029  3,8339
Java_ver(B)     float   x64     00001   00091   0,0013  1,7214
Java_ver(B)     float   x64     00002   00091   0,0013  1,6708
Java_ver(B)     float   x64     00003   00091   0,0009  1,1550
Java_ver(B)     float   x64     00004   00091   0,0006  0,8326
Java_ver(C)     float   x64     00000   00091   0,0041  5,4226
Java_ver(C)     float   x64     00001   00091   0,0018  2,3703
Java_ver(C)     float   x64     00002   00091   0,0024  3,1542
Java_ver(C)     float   x64     00003   00091   0,0007  0,8933
Java_ver(C)     float   x64     00004   00091   0,0003  0,4622
Java_ver(D)     float   x64     00000   00091   0,0041  5,4905
Java_ver(D)     float   x64     00001   00091   0,0013  1,6973
Java_ver(D)     float   x64     00002   00091   0,0021  2,8080
Java_ver(D)     float   x64     00003   00091   0,0008  1,0897
Java_ver(D)     float   x64     00004   00091   0,0005  0,6165
Java_ver(E)     float   x64     00000   00091   0,0044  5,7928
Java_ver(E)     float   x64     00001   00091   0,0011  1,4342
Java_ver(E)     float   x64     00002   00091   0,0009  1,2348
Java_ver(E)     float   x64     00003   00091   0,0006  0,7488
Java_ver(E)     float   x64     00004   00091   0,0008  1,0637
Java_ver(F)     float   x64     00000   00091   0,0032  4,3039
Java_ver(F)     float   x64     00001   00091   0,0023  3,1040
Java_ver(F)     float   x64     00002   00091   0,0005  0,6355
Java_ver(F)     float   x64     00003   00091   0,0005  0,6311
Java_ver(F)     float   x64     00004   00091   0,0005  0,6238

Testing matrix size: 128
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   00128   0,0061  2,8965
Java_ver(A)     float   x64     00001   00128   0,0026  1,2358
Java_ver(A)     float   x64     00002   00128   0,0022  1,0435
Java_ver(A)     float   x64     00003   00128   0,0021  1,0144
Java_ver(A)     float   x64     00004   00128   0,0021  0,9902
Java_ver(B)     float   x64     00000   00128   0,0051  2,4288
Java_ver(B)     float   x64     00001   00128   0,0021  0,9848
Java_ver(B)     float   x64     00002   00128   0,0020  0,9747
Java_ver(B)     float   x64     00003   00128   0,0022  1,0715
Java_ver(B)     float   x64     00004   00128   0,0021  1,0249
Java_ver(C)     float   x64     00000   00128   0,0063  2,9914
Java_ver(C)     float   x64     00001   00128   0,0012  0,5716
Java_ver(C)     float   x64     00002   00128   0,0007  0,3363
Java_ver(C)     float   x64     00003   00128   0,0009  0,4198
Java_ver(C)     float   x64     00004   00128   0,0011  0,5208
Java_ver(D)     float   x64     00000   00128   0,0058  2,7730
Java_ver(D)     float   x64     00001   00128   0,0015  0,7166
Java_ver(D)     float   x64     00002   00128   0,0009  0,4347
Java_ver(D)     float   x64     00003   00128   0,0010  0,4973
Java_ver(D)     float   x64     00004   00128   0,0010  0,4579
Java_ver(E)     float   x64     00000   00128   0,0069  3,3069
Java_ver(E)     float   x64     00001   00128   0,0027  1,2730
Java_ver(E)     float   x64     00002   00128   0,0027  1,2724
Java_ver(E)     float   x64     00003   00128   0,0027  1,2698
