PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
pass -File .\run_python_tests.ps1
PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy 
Bypass -File .\run_python_tests.ps1























Running Python tests for all matrix sizes...

Testing matrix size: 91
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       float   x64     00000   00091   0.1852  245.8013
Py_ver(A)       float   x64     00001   00091   0.2290  303.8763
Py_ver(A)       float   x64     00002   00091   0.1855  246.1499
Py_ver(A)       float   x64     00003   00091   0.1750  232.2818
Py_ver(A)       float   x64     00004   00091   0.1903  252.5686
Py_ver(B)       float   x64     00000   00091   0.1852  245.8241
Py_ver(B)       float   x64     00001   00091   0.2063  273.8045
Py_ver(B)       float   x64     00002   00091   0.1953  259.1212
Py_ver(B)       float   x64     00003   00091   0.1846  244.9867
Py_ver(B)       float   x64     00004   00091   0.1790  237.5478
Py_ver(C)       float   x64     00000   00091   0.2058  273.0449
Py_ver(C)       float   x64     00001   00091   0.2061  273.4620
Py_ver(C)       float   x64     00002   00091   0.2366  313.9979
Py_ver(C)       float   x64     00003   00091   0.2166  287.4744
Py_ver(C)       float   x64     00004   00091   0.2326  308.6233
Py_ver(D)       float   x64     00000   00091   0.2116  280.7405
Py_ver(D)       float   x64     00001   00091   0.2050  271.9720
Py_ver(D)       float   x64     00002   00091   0.2464  327.0220
Py_ver(D)       float   x64     00003   00091   0.2045  271.4278
Py_ver(D)       float   x64     00004   00091   0.2158  286.3681
Py_ver(E)       float   x64     00000   00091   0.2063  273.8022
Py_ver(E)       float   x64     00001   00091   0.2044  271.3001
Py_ver(E)       float   x64     00002   00091   0.2290  303.8619
Py_ver(E)       float   x64     00003   00091   0.2003  265.7499
Py_ver(E)       float   x64     00004   00091   0.2106  279.4830
Py_ver(F)       float   x64     00000   00091   0.2082  276.3476
Py_ver(F)       float   x64     00001   00091   0.2095  278.0110
Py_ver(F)       float   x64     00002   00091   0.2181  289.4782
Py_ver(F)       float   x64     00003   00091   0.2070  274.6321
Py_ver(F)       float   x64     00004   00091   0.2360  313.1743
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       double  x64     00000   00091   0.1956  259.5799
Py_ver(A)       double  x64     00001   00091   0.1729  229.4722
